
2025/01/19 (16:48:45) | ===> btop++ v.1.4.0
2025/01/19 (16:48:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:50:03) | ===> btop++ v.1.4.0
2025/01/19 (16:50:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (17:53:00) | ===> btop++ v.1.4.0
2025/01/19 (17:53:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (17:53:07) | ===> btop++ v.1.4.0
2025/01/19 (17:53:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (18:46:59) | ===> btop++ v.1.4.0
2025/01/19 (18:46:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (16:15:57) | ===> btop++ v.1.4.0
2025/01/20 (16:15:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (19:49:00) | ===> btop++ v.1.4.0
2025/01/21 (19:49:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (20:00:12) | ===> btop++ v.1.4.0
2025/02/06 (20:00:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (16:55:20) | ===> btop++ v.1.4.0
2025/02/10 (16:55:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (22:26:56) | ===> btop++ v.1.4.0
2025/02/11 (22:26:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (15:05:13) | ===> btop++ v.1.4.0
2025/02/17 (15:05:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (13:43:15) | ===> btop++ v.1.4.0
2025/03/17 (13:43:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (13:50:01) | ===> btop++ v.1.4.0
2025/03/17 (13:50:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (13:51:56) | ===> btop++ v.1.4.0
2025/03/17 (13:51:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (13:52:46) | ===> btop++ v.1.4.0
2025/03/17 (13:52:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (14:50:09) | ===> btop++ v.1.4.0
2025/03/17 (14:50:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (14:59:09) | ===> btop++ v.1.4.0
2025/03/17 (14:59:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (00:21:34) | ===> btop++ v.1.4.0
2025/03/18 (00:21:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (11:31:43) | ===> btop++ v.1.4.0
2025/03/18 (11:31:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (15:47:28) | ===> btop++ v.1.4.0
2025/03/20 (15:47:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/20 (15:47:41) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (02:09:20) | ===> btop++ v.1.4.0
2025/03/30 (02:09:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (23:38:00) | ===> btop++ v.1.4.0
2025/04/07 (23:38:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (02:37:16) | ===> btop++ v.1.4.0
2025/04/08 (02:37:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (23:06:30) | ===> btop++ v.1.4.0
2025/04/08 (23:06:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (05:16:15) | ===> btop++ v.1.4.0
2025/04/10 (05:16:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (03:06:43) | ===> btop++ v.1.4.0
2025/04/15 (03:06:43) | WARNING: Intel GPU: Failed to initialize PMU
